Input	Input_source	Output	Output_source
C00462	KEGG	CHEBI:16042	ChEBI
C00742	KEGG	CHEBI:17051	ChEBI
C08142	KEGG	CHEBI:28741	ChEBI
C00698	KEGG	CHEBI:17996	ChEBI
C07755	KEGG	CHEBI:6636	ChEBI
C12538	KEGG	CHEBI:31206	ChEBI
C08130	KEGG	CHEBI:3312	ChEBI
C13563	KEGG	CHEBI:26710	ChEBI
C15226	KEGG	CHEBI:37117	ChEBI
C15235	KEGG	CHEBI:74856	ChEBI
C07677	KEGG	CHEBI:2380	ChEBI
C07939	KEGG	CHEBI:2619	ChEBI
C11744	KEGG	CHEBI:9016	ChEBI
C07952	KEGG	CHEBI:3649	ChEBI
C07982	KEGG	CHEBI:5882	ChEBI
C07340	KEGG	CHEBI:8714	ChEBI
C07384	KEGG	CHEBI:8492	ChEBI
C08026	KEGG	CHEBI:7859	ChEBI
C19315	KEGG	CHEBI:51739	ChEBI
C08123	KEGG	CHEBI:2969	ChEBI
C13978	KEGG	CHEBI:34993	ChEBI
C12490	KEGG	CHEBI:31325	ChEBI
C12557	KEGG	CHEBI:31368	ChEBI
C13993	KEGG	CHEBI:59936	ChEBI
C08053	KEGG	CHEBI:6518	ChEBI
C08054	KEGG	CHEBI:7008	ChEBI
C19290	KEGG	CHEBI:71419	ChEBI
C07376	KEGG	CHEBI:71428	ChEBI
C19554	KEGG	CHEBI:74728	ChEBI
C13112	KEGG	CHEBI:74843	ChEBI
C11276	KEGG	CHEBI:7576	ChEBI
C11619	KEGG	CHEBI:9216	ChEBI
C08072	KEGG	CHEBI:7452	ChEBI
C19252	KEGG	CHEBI:87665	ChEBI
C07701	KEGG	CHEBI:3012	ChEBI
C15270	KEGG	CHEBI:79772	ChEBI
C11618	KEGG	CHEBI:8642	ChEBI
C12954	KEGG	CHEBI:31493	ChEBI
C00225	KEGG	CHEBI:28786	ChEBI
C05904	KEGG	CHEBI:28510	ChEBI
C08726	KEGG	CHEBI:75033	ChEBI
C08727	KEGG	CHEBI:75035	ChEBI
C00220	KEGG	CHEBI:6872	ChEBI
C13503	KEGG	CHEBI:9505	ChEBI
C11177	KEGG	CHEBI:52672	ChEBI
C11190	KEGG	CHEBI:8828	ChEBI
C19517	KEGG	CHEBI:52334	ChEBI
C08037	KEGG	CHEBI:3020	ChEBI
C13591	KEGG	CHEBI:34845	ChEBI
C18367	KEGG	CHEBI:72449	ChEBI
C04491	KEGG	CHEBI:16726	ChEBI
C11305	KEGG	CHEBI:78019	ChEBI
C11307	KEGG	CHEBI:3566	ChEBI
C11179	KEGG	CHEBI:8682	ChEBI
C12539	KEGG	CHEBI:31264	ChEBI
C18475	KEGG	CHEBI:81772	ChEBI
C00720	KEGG	CHEBI:15858	ChEBI
C01324	KEGG	CHEBI:15858	ChEBI
C11161	KEGG	CHEBI:4883	ChEBI
C04905	KEGG	CHEBI:15797	ChEBI
C04908	KEGG	CHEBI:16986	ChEBI
C04908	KEGG	CHEBI:16986	ChEBI
C11761	KEGG	CHEBI:9702	ChEBI
C06830	KEGG	CHEBI:2739	ChEBI
C11275	KEGG	CHEBI:3567	ChEBI
C08197	KEGG	CHEBI:179557	ChEBI
